1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q1,59545,14890,0,5234,1114,109,109,0,0,550,37184,93,37091,6826,30265,0,0,0,0,0,0,0,0,0,464,0,464,59007,17277,4840,35746,1569,702,867,0,0,0,201,33976,0,0,0,1144,0,536,608,93,0,0
1965:Q2,61160,14344,0,5256,1349,646,646,0,0,450,38703,3,38700,7761,30939,0,0,0,0,0,0,0,0,0,412,0,412,60615,18229,4978,36375,1419,747,672,0,0,0,214,34742,0,0,0,1033,0,541,492,3,0,0
1965:Q3,61594,14674,0,5316,1405,123,123,0,0,350,39280,11,39269,8396,30873,0,0,0,0,0,0,0,0,0,446,0,446,61043,17797,5370,36936,1656,804,852,0,0,0,233,35047,0,0,0,940,0,544,396,11,0,0
1965:Q4,63482,14313,0,5419,2248,96,96,0,0,402,40553,75,40478,9101,31377,0,0,0,0,0,0,0,0,0,451,0,451,63034,18447,4851,38834,1428,760,668,0,0,0,201,37205,0,0,0,902,0,551,351,75,0,0
1966:Q1,62575,13793,0,5580,1388,579,579,0,0,400,40226,30,40196,9237,30959,0,0,0,0,0,0,0,0,0,609,0,609,61996,17941,5470,37786,1486,940,546,0,0,0,341,35959,0,0,0,799,0,560,239,30,0,0
1966:Q2,64938,13855,0,5822,1957,287,287,0,0,500,41907,138,41769,10447,31322,0,0,0,0,0,0,0,0,0,610,0,610,64347,18564,5234,39651,1815,1049,766,0,0,0,516,37320,0,0,0,898,0,562,336,138,0,0
1966:Q3,65137,13806,0,5930,1647,979,979,0,0,500,41585,48,41537,15456,26081,0,0,0,0,0,0,0,0,0,690,0,690,64532,18070,5830,39805,2404,1091,1313,0,0,0,393,37008,0,0,0,827,0,566,261,48,0,0
1966:Q4,67980,13977,0,6161,2510,173,173,0,0,785,43724,69,43655,16155,27500,0,0,0,0,0,0,0,0,0,650,0,650,67517,19794,5450,41210,1592,1176,416,0,0,0,405,39213,0,0,0,1063,0,570,493,69,0,0
1967:Q1,66234,13235,0,6348,1260,29,29,0,0,600,44029,0,44029,17160,26869,0,0,0,0,0,0,0,0,0,733,0,733,65606,18619,5970,40151,2012,1335,677,0,0,0,384,37755,0,0,0,866,0,578,288,0,0,0
1967:Q2,69001,13629,0,6456,1345,53,53,0,0,500,46355,36,46318,18359,27959,1,0,1,0,0,0,0,0,0,663,0,663,68374,19505,4854,43032,2783,1472,1311,0,0,0,402,39847,0,0,0,983,0,585,398,36,0,0
1967:Q3,69443,13723,0,6604,1235,171,171,0,0,400,46462,60,46402,14097,32305,0,0,0,0,0,0,0,0,0,848,0,848,68810,20039,6252,41519,2234,1523,711,0,0,0,428,38857,0,0,0,1000,0,589,411,60,0,0
1967:Q4,72763,13526,0,6628,2483,141,141,0,0,259,49055,75,48980,15975,33005,0,0,0,0,0,0,0,0,0,671,0,671,72276,21092,5931,44099,2467,1344,1123,0,0,0,396,41236,0,0,0,1154,0,598,556,75,0,0
1968:Q1,71885,11967,0,6799,1344,1390,1390,0,0,0,49595,100,49495,16161,33334,0,0,0,0,0,0,0,0,0,790,0,790,71188,21232,6250,42559,2096,1131,965,0,0,0,448,40015,0,0,0,1147,0,612,535,100,0,0
1968:Q2,73404,11315,0,6708,1938,292,292,0,0,0,52364,134,52230,18380,33850,0,0,0,0,0,0,0,0,0,787,0,787,72698,21462,5190,44793,1912,838,1074,0,0,0,431,42450,0,0,0,1253,0,617,636,134,0,0
1968:Q3,74924,11576,0,6741,1770,1565,1565,0,0,0,52454,49,52405,18794,33611,0,0,0,0,0,0,0,0,0,818,0,818,74209,22413,6660,43923,1824,797,1027,0,0,0,403,41696,0,0,0,1213,0,619,594,49,0,0
1968:Q4,76736,12370,0,6795,3482,188,188,0,0,0,52995,58,52937,18756,34181,0,0,0,0,0,0,0,0,0,906,0,906,76219,21859,7195,45642,1398,695,703,0,0,0,477,43767,0,0,0,1523,0,630,893,58,0,0
1969:Q1,75176,12387,0,6826,2034,997,997,0,0,0,52089,74,52010,17583,34427,5,0,5,0,0,0,0,0,0,843,0,843,74408,22066,6490,44672,1217,715,502,0,0,0,404,43051,0,0,0,1180,0,641,539,74,0,0
1969:Q2,76311,12142,0,6736,1472,1049,1049,0,0,0,54136,41,54095,19466,34629,0,0,0,0,0,0,0,0,0,776,0,776,75520,20808,6258,46969,1891,633,1258,0,0,0,419,44659,0,0,0,1485,0,659,826,41,0,0
1969:Q3,78191,12667,0,6761,2313,1526,1526,0,0,0,54028,60,53932,19149,34783,36,0,36,0,0,0,0,0,0,896,0,896,77387,22508,6950,46637,1885,682,1203,0,0,0,410,44342,0,0,0,1292,0,666,626,60,0,0
1969:Q4,80738,12273,0,6848,3440,183,183,0,0,0,57218,64,57154,22265,34889,0,0,0,0,0,0,0,0,0,776,0,776,80186,22085,7320,48911,1969,657,1312,0,0,0,377,46565,0,0,0,1870,0,669,1201,64,0,0
1970:Q1,80196,12478,400,6900,2237,1554,1554,0,0,0,55697,76,55578,20897,34681,43,0,43,0,0,0,0,0,0,930,0,930,79344,22568,6940,48129,2060,581,1479,0,0,0,456,45613,0,0,0,1707,0,681,1026,76,0,0
1970:Q2,80878,11988,400,6986,2562,330,330,0,0,0,57746,32,57714,22407,35307,0,0,0,0,0,0,0,0,0,866,0,866,80016,21991,7090,49115,1444,439,1005,0,0,0,410,47261,0,0,0,1820,0,685,1135,32,0,0
