1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q2,-48282,-63,-3719,4080,6005,7067,3798,0,3269,-14098,5304,-23490,-29367,20070,9298
1991:Q3,8467,-37,-703,5364,882,4097,7938,0,-3841,2180,7655,4791,-15762,17381,-1620
1991:Q4,46591,-2,-11619,-3821,-3214,-9660,-17016,0,7356,70949,-4191,45280,-37131,40243,-3112
1992:Q1,-13256,-103,-5855,-316,-6016,-3244,-1765,0,-1479,-35271,-7906,61992,-16536,18669,-2133
1992:Q2,37888,-46,5416,-1952,4907,-88,-3269,0,3181,-19429,14765,61922,-27608,17784,9824
1992:Q3,-45360,-38,-1013,4356,21018,-8424,932,0,-9355,612,5945,-39845,-27971,30091,-2120
1992:Q4,4570,-26,-1265,-9930,-15745,13990,4761,0,9229,72396,-3232,-5658,-45960,49394,-3434
1993:Q1,-36153,-54,1483,6773,50128,-9969,-4682,0,-5287,-48503,-6770,9450,-38692,40190,-1498
1993:Q2,-24361,-42,-2052,459,-12907,5023,168,0,4855,-23632,17662,34012,-42884,32416,10468
1993:Q3,-54637,-55,-6912,-6385,27426,-9517,-1642,0,-7875,-12863,10307,-22262,-34376,36641,-2265
1993:Q4,-42243,-51,1850,3713,-30169,11711,4674,0,7037,88067,-5078,-70072,-42216,46700,-4485
1994:Q1,-192340,-59,-3262,-4073,8494,-11540,-7055,0,-4485,-41817,-7538,-92108,-40438,42661,-2223
1994:Q2,-6113,-51,20344,10828,20804,1945,-547,0,2492,-21202,18830,-16771,-40839,29942,10898
1994:Q3,-33168,-59,12041,368,7760,-7587,564,0,-8150,-3289,3522,-19397,-26527,28781,-2254
1994:Q4,-61416,-44,13573,336,-7537,9586,2197,0,7389,67826,-8272,-102245,-34637,38571,-3933
1995:Q1,-39683,-48,9276,2313,29116,-8139,-3425,0,-4714,-33451,-9610,4119,-33260,34744,-1484
1995:Q2,-65918,-94,24885,-1623,-23312,-2469,-4870,0,2401,-9991,21785,-43736,-31364,19737,11627
1995:Q3,-42495,-73,-13079,3263,19626,-8978,-637,0,-8341,-16277,7689,-25448,-9219,11797,-2578
1995:Q4,-22415,-116,3882,-11463,-26988,9760,2938,0,6822,57016,1188,-33814,-21879,26742,-4863
1996:Q1,-127657,-267,18009,8567,-15317,-7100,-2503,0,-4597,-48128,-12747,-60102,-10572,13043,-2471
1996:Q2,-22320,-296,6804,-4201,3032,-702,-2972,0,2270,-19598,27068,-13458,-20968,8520,12448
1996:Q3,-11166,362,21326,-2992,1444,-3232,5457,0,-8689,-38916,4955,14457,-8570,11074,-2504
