1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1968:Q1,2005087,0,118180,350920,0,141712,83621,5670,37137,15284,52473,1569,47312,3592,614335,40523,0,116735,532409,37800,529386,249378,96244,107272,35446,41046
1968:Q2,2122233,0,119957,356638,0,143380,82332,6475,38066,16507,55156,3722,47757,3677,697357,45972,0,117919,547540,38314,546140,253675,99105,111404,38430,43525
1968:Q3,2163635,0,124314,364408,0,144091,83732,5982,37621,16756,57420,5153,48735,3532,704969,48300,0,119108,561505,39520,556635,258183,101674,114160,39116,43502
1968:Q4,2281274,0,131158,372312,0,142691,82035,6120,36490,18046,57812,4878,49082,3852,791225,49529,0,120321,576542,39684,572311,262934,104194,119324,40893,44965
1969:Q1,2254135,0,123783,377319,0,153748,89394,5981,40035,18338,52334,1483,47321,3530,744978,48554,0,121558,590724,41137,574387,264857,106006,118884,40290,44350
1969:Q2,2238508,0,125248,382216,0,152156,82742,7983,42266,19165,53976,3271,47138,3567,707381,46190,0,122811,606475,42055,591365,269738,109733,123675,41115,47103
1969:Q3,2244250,0,123924,380750,0,166830,91322,9209,45302,20997,51327,213,47629,3485,685998,46004,0,124080,622258,43079,601570,274512,112987,125813,40631,47627
1969:Q4,2232871,0,129503,381127,0,174275,93666,11305,47244,22060,55900,2651,49537,3712,638787,45578,0,125359,638886,43456,615933,278689,115927,129231,41900,50187
1970:Q1,2234634,0,125516,382356,0,182571,98821,14195,48079,21476,52405,1482,47509,3414,614739,46279,0,126700,659467,44601,609217,279940,104594,126663,42314,55707
1970:Q2,2122058,0,131828,390877,0,175268,89336,14982,48227,22723,53301,1354,48469,3478,485356,37027,0,127975,675310,45116,621066,283228,108087,129421,42886,57445
1970:Q3,2255679,0,135762,409150,0,177300,86561,15735,48542,26462,55772,1762,50430,3580,564848,41919,0,129291,695984,45653,632985,287149,112641,131424,43755,58017
1970:Q4,2351578,0,137187,424712,0,176632,83741,15943,47144,29804,58201,3564,50808,3829,617555,44501,0,130699,716279,45812,645482,290995,116563,133660,44723,59541
1971:Q1,2464010,0,137498,448774,0,173782,80688,14951,46097,32046,56269,2478,50335,3456,677215,50329,0,132198,738457,49488,654782,294998,119216,134072,46058,60438
