1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1969:Q4,2744123,2106710,482065,155348,4144,122543,28661,2744123,738110,765774,420449,343047,438039,38704,201,10900,10383,196,40,281,2032,1606,117,13,23,0,4030,1442,1118,17225,96,329836,215800
1970:Q1,2796953,2143154,493801,159998,4479,126073,29446,2796953,745778,783236,426380,350816,450970,39773,206,11183,10657,200,40,286,2100,1656,121,13,39,0,4154,1491,1180,17630,99,334334,218500
1970:Q2,2900578,2232624,503944,164010,4791,129498,29721,2900578,780290,809433,443781,357917,467739,41418,213,11613,11071,205,41,296,2191,1727,127,13,55,0,4326,1560,1250,18343,110,339663,221100
1970:Q3,2920992,2240018,512852,168122,5095,132862,30165,2920992,769177,822167,442040,363003,482361,42244,217,11827,11281,206,41,299,2248,1767,131,14,72,0,4429,1600,1307,18632,119,346138,223500
1970:Q4,2990914,2295999,522724,172191,5353,136142,30696,2990914,784272,841928,451491,370169,499590,43464,222,12144,11589,209,41,305,2321,1823,136,14,88,0,4566,1654,1366,19131,130,354452,222900
1971:Q1,3074021,2365297,532507,176217,5524,139285,31408,3074021,810761,863107,465900,376450,512790,45013,235,12594,12013,216,43,322,2396,1884,142,14,100,0,4700,1725,1419,19805,142,363713,230500
1971:Q2,3153191,2432663,541109,179419,5726,142206,31487,3153191,834659,883757,479326,382823,526005,46621,247,13050,12447,223,43,337,2477,1948,148,14,113,0,4833,1797,1473,20518,158,370738,235200
1971:Q3,3223953,2494923,546620,182410,5957,144906,31547,3223953,857974,902840,492192,386451,536317,48179,260,13485,12860,229,44,352,2553,2012,155,14,125,0,4955,1869,1528,21223,175,374553,237800
1971:Q4,3294725,2558549,551024,185152,6199,147435,31518,3294725,879578,919770,503890,391164,550710,49613,272,13889,13242,235,45,367,2626,2073,162,15,136,0,5065,1934,1581,21861,194,377950,240700
1972:Q1,3404272,2622728,592872,188672,6437,150048,32187,3404272,902340,941388,517993,427954,563316,51281,281,14341,13674,240,46,381,2695,2131,168,14,171,0,5179,2032,1666,22602,228,386967,244500
1972:Q2,3451521,2667916,591392,192213,6706,152937,32570,3451521,916700,958354,527880,423607,572273,52707,289,14728,14044,244,47,393,2754,2181,176,15,203,0,5271,2121,1749,23219,267,395008,251800
