1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1972:Q2,60,0,60,-7,-185,252,60,-65,0,-7,-184,126,0,0,0,125,0,-1,126
1972:Q3,-93,0,-93,0,15,-108,-93,-37,-3,0,20,-54,3,3,0,-59,0,-5,-54
1972:Q4,-50,0,-50,0,16,-66,-50,-22,0,0,11,-33,0,0,0,-28,0,5,-33
1973:Q1,-213,0,-213,0,13,-226,-213,-98,0,0,15,-113,0,0,0,-115,0,-2,-113
1973:Q2,-11,0,-11,-9,-8,6,-11,-1,0,-9,5,3,0,0,0,-10,0,-13,3
1973:Q3,23,0,23,0,13,10,23,5,0,0,0,5,0,0,0,18,0,13,5
1973:Q4,43,0,43,0,15,28,43,29,0,0,15,14,0,0,0,14,0,0,14
1974:Q1,246,0,246,0,209,37,246,234,0,0,215,19,0,0,0,13,0,-6,19
1974:Q2,358,0,358,29,244,85,358,312,0,29,240,43,0,0,0,47,0,4,43
1974:Q3,1003,0,1003,123,728,152,1003,920,0,123,721,76,0,0,0,83,0,7,76
1974:Q4,-137,0,-137,20,84,-241,-137,-94,-85,20,92,-121,0,0,0,-44,85,-8,-121
1975:Q1,325,0,325,4,307,14,325,300,32,4,257,7,0,0,0,25,-32,50,7
1975:Q2,29,0,29,16,7,6,29,21,0,16,2,3,0,0,0,8,0,5,3
1975:Q3,333,0,333,25,95,213,333,241,21,25,88,107,0,0,0,93,-21,7,107
1975:Q4,161,0,161,21,57,83,161,123,0,21,60,42,0,0,0,39,0,-3,42
1976:Q1,777,0,777,45,237,495,777,536,0,45,243,248,0,0,0,242,0,-6,248
1976:Q2,1578,0,1578,-14,798,794,1578,1196,0,-14,813,397,1,1,0,381,-1,-15,397
1976:Q3,408,0,408,18,716,-326,408,568,0,18,713,-163,0,0,0,-160,0,3,-163
1976:Q4,-207,0,-207,29,461,-697,-207,125,0,29,444,-349,0,0,0,-332,0,17,-349
1977:Q1,362,0,362,0,389,-27,362,399,22,0,390,-14,-60,-60,0,24,38,-1,-14
1977:Q2,24,0,24,83,80,-139,24,105,16,83,75,-70,0,0,0,-81,-16,5,-70
1977:Q3,-112,0,-112,9,-133,12,-112,-93,25,9,-133,6,0,0,0,-19,-25,0,6
1977:Q4,-17,0,-17,29,-42,-4,-17,-76,-62,29,-41,-2,-61,-61,0,120,123,-1,-2
1978:Q1,-187,0,-187,16,-324,121,-187,-250,-1,16,-325,61,1,1,0,62,0,1,61
1978:Q2,-248,0,-248,104,-437,85,-248,-284,0,104,-430,43,0,0,0,36,0,-7,43
1978:Q3,-115,0,-115,43,-195,37,-115,-136,0,43,-197,19,0,0,0,21,0,2,19
1978:Q4,-247,0,-247,-1412,-3275,4440,-247,-2464,0,-1412,-3272,2220,-65,-65,0,2282,65,-3,2220
1979:Q1,4724,1139,3585,1142,86,2357,4724,2399,0,1142,78,1179,1139,0,1139,1187,0,8,1179
1979:Q2,-322,0,-322,-6,78,-394,-322,-113,0,-6,90,-197,0,0,0,-209,0,-12,-197
1979:Q3,-2779,0,-2779,0,52,-2831,-2779,-1269,95,0,52,-1416,0,0,0,-1511,-95,0,-1416
1979:Q4,583,0,583,-1,-27,611,583,393,121,-1,-33,306,-65,-65,0,256,-56,6,306
1980:Q1,4420,1152,3268,1152,34,2082,4420,2228,0,1152,35,1041,1152,0,1152,1040,0,-1,1041
1980:Q2,-502,0,-502,-112,99,-489,-502,-255,0,-112,102,-245,0,0,0,-248,0,-3,-245
1980:Q3,1109,0,1109,261,294,554,1109,844,4,261,302,277,0,0,0,265,-4,-8,277
1980:Q4,4279,0,4279,-1285,1240,4324,4279,2144,8,-1285,1259,2162,0,0,0,2135,-8,-19,2162
1981:Q1,5622,1093,4529,1441,707,2381,5622,3231,-94,1441,693,1191,1193,100,1093,1199,-6,14,1191
1981:Q2,905,0,905,23,780,102,905,853,0,23,779,51,0,0,0,52,0,1,51
1981:Q3,4,0,4,225,647,-868,4,435,0,225,644,-434,2,2,0,-433,-2,3,-434
1981:Q4,-262,0,-262,134,358,-754,-262,114,0,134,357,-377,1,1,0,-377,-1,1,-377
1982:Q1,1089,0,1089,400,547,142,1089,1019,0,400,548,71,1,1,0,69,-1,-1,71
1982:Q2,1132,0,1132,241,814,77,1132,1093,0,241,813,39,1,1,0,39,-1,1,39
1982:Q3,794,0,794,434,459,-99,794,836,0,434,451,-50,1,1,0,-43,-1,8,-50
1982:Q4,1949,0,1949,297,732,920,1949,1488,0,297,731,460,0,0,0,461,0,1,460
1983:Q1,787,0,787,98,2139,-1450,787,1504,10,98,2121,-725,0,0,0,-717,-10,18,-725
1983:Q2,-16,0,-16,303,212,-531,-16,281,7,303,236,-266,0,0,0,-297,-7,-24,-266
1983:Q3,-529,0,-529,209,88,-826,-529,-111,3,209,90,-413,0,0,0,-418,-3,-2,-413
