1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1983:Q2,360215,23741,126227,208862,1385,360215,2138,28411,11532,7551,3288,182278,4974,914,1954,97416,6289,4542,0,0,7372,1556
1983:Q3,373975,25988,130387,216212,1388,373975,2485,27530,12101,7655,3433,191587,4833,814,2160,100209,7294,4547,0,0,7798,1529
1983:Q4,389424,28428,134685,224925,1386,389424,2467,28733,12905,7760,3430,200622,5190,740,2311,103831,6923,4786,0,0,8223,1503
1984:Q1,408654,31848,136883,238482,1441,408654,2473,32388,13845,7775,3494,215398,4422,705,2414,104770,5806,4841,0,0,8710,1613
1984:Q2,429688,33865,142154,252137,1532,429688,2325,35995,14848,7845,3531,228655,4264,688,2490,107548,5427,5053,0,0,9289,1730
1984:Q3,451779,34963,146254,268943,1619,451779,1876,40869,16010,7957,3611,242345,4407,701,2580,109801,4796,5092,0,0,9893,1841
1984:Q4,471898,35354,147257,287626,1661,471898,1197,44025,17297,8056,3694,254830,5616,696,2664,111175,5277,5378,0,0,10075,1918
1985:Q1,487050,37066,135805,312511,1668,487050,1986,44007,18244,8102,3751,264594,5453,695,2869,113421,5908,5472,0,0,10574,1974
1985:Q2,505953,37192,137550,329535,1676,505953,1464,45559,19151,8177,3892,275962,5380,720,3047,117295,6749,5505,0,85,10916,2051
1985:Q3,522126,37771,135708,346961,1686,522126,1844,46091,19960,8264,4129,286704,5471,752,3197,120183,6494,5531,0,83,11289,2134
1985:Q4,541661,38572,144742,356649,1698,541661,2127,46062,20692,8349,4423,293138,5743,773,3339,127670,7195,5552,0,564,12188,3846
1986:Q1,554231,40124,146093,366226,1788,554231,872,43139,20887,8367,5087,304171,6174,795,3623,130718,7632,5699,0,548,12521,3998
1986:Q2,565823,43241,149233,371409,1940,565823,470,41748,21077,8458,5077,311296,6587,810,3843,136325,6169,5647,0,1084,13032,4200
1986:Q3,579130,45612,153325,378263,1930,579130,577,39460,21254,8524,5017,320494,6993,827,4075,140841,5775,5973,0,1144,13909,4267
1986:Q4,601970,43240,159739,397122,1869,601970,1022,34697,20171,8446,5101,339013,8675,833,4348,149111,4585,6342,132,1116,14527,3851
1987:Q1,639606,46062,188560,403054,1930,639606,2000,29567,19347,8463,5157,376293,8361,848,4444,151420,6125,6195,127,1601,15652,4006
1987:Q2,655668,46958,199690,407087,1933,655668,500,28205,18273,8553,5209,388618,9777,848,4750,155611,5935,6197,126,2395,16683,3988
1987:Q3,668224,46719,208584,410963,1958,668224,1299,25620,17249,6592,5398,399808,11235,859,4868,159464,5439,6261,124,2428,17370,4210
1987:Q4,691647,53751,218952,416860,2084,691647,482,27238,16571,6603,5654,411339,13921,885,4994,166722,5205,6196,63,3125,18120,4529
1988:Q1,705639,55794,221667,426103,2075,705639,463,32705,16746,6640,5846,408432,15959,943,5139,173363,6126,6264,58,3171,19058,4726
1988:Q2,727702,57109,222261,446245,2087,727702,441,38570,17271,6288,6142,416399,17863,1029,5269,177123,7064,6459,41,3459,19532,4752
1988:Q3,738348,58424,217064,460789,2071,738348,423,44624,17846,5300,6182,411296,19955,1132,5406,181196,9141,6621,38,3881,20203,5104
1988:Q4,763743,58332,228511,474633,2267,763743,416,47986,18171,5343,6033,420611,22063,1241,5574,187549,11145,6712,38,4622,20592,5647
1989:Q1,779985,60556,239954,477176,2299,779985,419,43519,17296,5101,6089,435684,23613,1358,5779,190914,11250,6738,34,5097,21621,5473
1989:Q2,786638,62274,241824,480228,2312,786638,429,36743,16272,3885,6215,442555,25554,1486,6027,195098,11887,6620,26,5883,22527,5431
1989:Q3,796137,63827,242418,487493,2399,796137,448,30352,15198,4366,6260,448827,27917,1625,6270,199513,12617,6742,26,7006,23639,5331
1989:Q4,798235,65554,235553,494642,2486,798235,475,23288,14171,4443,6444,447348,30189,1772,6460,205472,13843,6626,26,8369,23870,5439
1990:Q1,808419,67286,249825,488735,2573,808419,513,19144,13733,6499,6715,443641,35761,1929,6615,210422,17017,6587,25,9333,25096,5389
