1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q3,997109,4736,6488,2663,10468,330853,10468,148740,39557,622,131466,15586,204078,24305,397932,0,397420,512,1003270,986460,589040,397420,980299,16810
1988:Q4,1016774,4410,7116,2811,10183,334934,10183,150659,35347,533,138212,15603,212634,24238,404845,0,402728,2117,1023185,1005913,603185,402728,999502,17272
1989:Q1,1062832,3685,8123,3089,10320,345503,10320,151057,37920,467,145739,15132,225318,24955,426707,0,423974,2733,1069626,1051381,627407,423974,1044587,18245
1989:Q2,1109953,3593,8418,3350,10353,356190,10353,151664,43928,403,149842,15118,251759,26268,434904,0,430985,3919,1117133,1097728,666743,430985,1090548,19405
1989:Q3,1158588,3298,8850,3509,10526,361431,10526,153198,47393,336,149978,15295,270927,28342,456410,0,451210,5200,1166138,1144926,693716,451210,1137376,21212
1989:Q4,1206302,3171,9060,3805,9703,366167,9703,152396,51203,268,152597,15299,277832,28326,492939,0,486670,6269,1214224,1192664,705994,486670,1184742,21560
1990:Q1,1236894,3790,8479,4049,9969,382642,9969,162764,54214,479,155216,15181,267614,27045,518125,0,511516,6609,1245647,1224739,713223,511516,1215986,20908
1990:Q2,1269893,4318,7953,4029,11410,389877,11410,168301,56085,486,153595,15243,282130,29299,525634,0,517805,7829,1279714,1257579,739774,517805,1247758,22135
1990:Q3,1299651,4716,7802,4152,11820,392299,11820,170147,61255,245,148832,15311,250979,24730,587842,0,580217,7625,1310422,1291239,711022,580217,1280468,19183
1990:Q4,1334375,4974,7701,4342,12233,385928,12233,168235,62851,473,142136,16061,284569,26960,591607,0,583776,7831,1346254,1325515,741739,583776,1313636,20739
