1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1970:Q2,1456,0,0,696,8,180,508,760,780,308,452,392,60,20,40,20
1970:Q3,1604,0,0,736,4,192,540,868,244,0,276,-12,288,96,192,-32
1970:Q4,2848,0,0,1344,8,352,984,1504,1300,632,624,520,104,32,72,44
1971:Q1,1740,0,0,748,4,196,548,992,1448,364,1092,948,144,48,96,-8
1971:Q2,2248,0,0,1164,8,304,852,1084,1516,832,612,476,136,44,92,72
1971:Q3,2312,0,0,1156,0,368,788,1156,1580,-264,808,740,68,24,44,1036
1971:Q4,2716,0,0,1304,4,440,860,1412,2336,384,264,76,188,60,128,1688
1972:Q1,5048,0,0,1440,8,888,544,3608,4456,428,1900,1704,196,68,128,2128
1972:Q2,4920,0,0,1740,16,572,1152,3180,4272,404,1260,452,808,264,544,2608
1972:Q3,3432,0,0,1460,0,516,944,1972,3084,160,256,-192,448,148,300,2668
1972:Q4,5700,0,0,2684,8,964,1712,3016,5804,188,3432,3000,432,144,288,2184
1973:Q1,4840,0,0,1656,8,408,1240,3184,4328,476,4380,3888,492,160,332,-528
1973:Q2,5140,0,0,3188,0,1396,1792,1952,4684,560,4188,3636,552,184,368,-64
1973:Q3,4724,0,0,3372,28,948,2396,1352,4724,164,1732,1712,20,8,12,2828
1973:Q4,2752,0,0,1592,20,676,896,1160,4280,540,3400,3264,136,44,92,340
1974:Q1,1556,0,0,1148,8,500,640,408,3144,408,4312,4044,268,88,180,-1576
1974:Q2,896,0,0,-112,0,-32,-80,1008,2820,24,4508,4472,36,12,24,-1712
1974:Q3,-2464,0,0,108,-20,-300,428,-2572,140,-108,3016,2904,112,36,76,-2768
1974:Q4,-1496,0,0,-432,-4,68,-496,-1064,-52,176,768,668,100,32,68,-996
1975:Q1,-5560,0,0,-3844,-20,-1636,-2188,-1716,-2064,-784,-1908,-1900,-8,0,-8,628
1975:Q2,-10304,0,0,-3920,-20,-1544,-2356,-6384,-7776,-792,-5540,-5432,-108,-36,-72,-1444
1975:Q3,-10684,0,0,-4720,-20,-1668,-3032,-5964,-9632,-788,-5308,-5136,-172,-56,-116,-3536
1975:Q4,-6984,0,0,-3336,-16,-1152,-2168,-3648,-5340,-792,-3444,-3452,8,0,8,-1104
1976:Q1,-2488,0,0,-1188,-4,-416,-768,-1300,-1564,-392,-1748,-1992,244,80,164,576
1976:Q2,-2364,0,0,-1180,-4,-396,-780,-1184,-1924,76,-1236,-1724,488,164,324,-764
1976:Q3,-2496,0,0,-1184,-4,-384,-796,-1312,-1496,-84,-748,-1168,420,136,284,-664
1976:Q4,-2468,0,0,-1180,-4,-364,-812,-1288,-1392,-180,-1376,-2184,808,268,540,164
1977:Q1,-1032,0,0,-592,-4,-152,-436,-440,-1592,-104,-2020,-1940,-80,-28,-52,532
1977:Q2,-860,0,0,-592,0,-156,-436,-268,-3144,-108,-2596,-2228,-368,-120,-248,-440
1977:Q3,-1036,0,0,-596,-4,-156,-436,-440,-1668,20,-1268,-1040,-228,-76,-152,-420
1977:Q4,-844,0,0,-584,0,-148,-436,-260,-608,-84,-568,-484,-84,-28,-56,44
1978:Q1,-496,0,0,-132,-4,-56,-72,-364,-632,-340,-1780,-556,-1224,-404,-820,1488
1978:Q2,-128,0,0,-140,0,-56,-84,12,-284,-60,-792,-1372,580,192,388,568
1978:Q3,-552,0,0,-196,0,-68,-128,-356,-736,28,164,-468,632,208,424,-928
1978:Q4,640,0,0,-76,0,-40,-36,716,156,-248,368,-244,612,204,408,36
1979:Q1,128,0,0,-36,-4,0,-32,164,-152,-80,4,-224,228,76,152,-76
1979:Q2,84,0,0,-40,0,-4,-36,124,-224,72,-348,-296,-52,-20,-32,52
1979:Q3,68,0,0,-36,0,0,-36,104,-244,-344,-488,-336,-152,-48,-104,588
1979:Q4,-4,0,0,-40,-4,0,-36,36,-304,248,-432,-372,-60,-20,-40,-120
1980:Q1,-44,0,0,-96,0,-32,-64,52,-312,52,-148,-112,-36,-12,-24,-216
1980:Q2,-16,0,0,-92,0,-32,-60,76,-284,236,-232,-184,-48,-16,-32,-288
1980:Q3,-44,0,0,-88,0,-28,-60,44,-280,-232,-196,-152,-44,-16,-28,148
1980:Q4,-112,0,0,-92,0,-28,-64,-20,-300,44,-148,-112,-36,-12,-24,-196
1981:Q1,48,0,0,-40,0,-20,-20,88,-56,180,-108,-108,0,0,0,-128
