1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1991:Q4,284108,14126,268390,10,1582,284108,0,596,8401,31856,41676,114967,0,29342,911,4833,14198,26102,3780,5284,2162
1992:Q1,283928,14113,268151,10,1653,283928,0,490,8407,33614,41796,112283,0,29092,862,4668,14702,25631,4918,5350,2115
1992:Q2,280081,13921,264492,8,1660,280081,0,410,8393,30749,42128,110575,0,28667,804,4464,14958,25000,6371,5320,2242
1992:Q3,276591,13744,261143,8,1696,276591,0,406,8395,28834,42197,109973,0,28037,771,4277,15284,24409,6295,5643,2070
1992:Q4,270935,13458,255702,8,1767,270935,0,428,8356,27624,42386,105960,0,27221,727,4150,15828,23831,6577,5673,2175
1993:Q1,268838,13347,253601,8,1881,268838,0,381,7805,26115,42530,106257,0,27089,733,4020,16160,23202,6783,5655,2108
1993:Q2,266012,13201,250810,8,1993,266012,0,464,7633,24792,42732,104642,0,26822,717,4077,16378,22552,7545,5665,1993
1993:Q3,264738,13111,249118,7,2501,264738,0,546,7513,23778,42877,104355,0,26294,741,4045,16892,22329,7820,5580,1967
1993:Q4,267771,13241,251572,6,2952,267771,0,498,7254,24544,42861,104370,0,27545,724,4081,17517,22458,8373,5652,1894
1994:Q1,267659,13195,250697,6,3762,267659,0,677,6915,24017,43034,104030,0,27561,752,4125,17963,22308,8480,5643,2154
1994:Q2,268818,13201,250826,6,4785,268818,0,748,7515,23421,43194,103343,0,28176,803,4145,18163,22293,9073,5683,2262
1994:Q3,268710,13146,249782,6,5775,268710,0,790,7600,24104,43449,102333,0,27705,853,4224,18245,22050,9329,5772,2256
1994:Q4,268509,13116,249207,6,6180,268509,0,866,7901,21984,43804,102226,0,27843,1019,4273,18376,22442,9820,5824,2131
1995:Q1,267474,13051,247960,6,6457,267474,0,668,7643,21398,44074,102455,0,27834,1018,4324,18170,22208,9780,5974,1927
1995:Q2,269694,13129,249454,6,7105,269694,0,471,7526,19847,44370,104137,0,27870,1017,4385,18127,23858,10122,6116,1848
1995:Q3,270827,13167,250179,6,7475,270827,0,273,7339,18317,44479,105124,0,28164,1015,4440,18288,24678,10470,6481,1759
1995:Q4,274392,13322,253127,6,7937,274392,0,79,7220,17669,44690,104508,0,28714,1014,4497,18466,26893,11924,7166,1552
1996:Q1,275280,13344,253531,6,8399,275280,0,530,7088,16946,44941,103956,0,29172,1013,4556,18639,27803,12176,7239,1221
1996:Q2,278508,13473,255983,5,9047,278508,0,581,6902,16791,45170,104790,0,29607,1012,4614,18234,28938,12825,8003,1041
1996:Q3,280946,13556,257567,4,9819,280946,0,675,6839,15856,45603,106477,0,28776,1011,4674,17991,30705,13782,7549,1008
1996:Q4,286723,13810,262381,2,10530,286723,0,768,6768,14817,46527,107021,0,30750,1016,4736,17702,32499,15721,7211,1187
1997:Q1,287035,13757,261379,0,11899,287035,0,942,6536,14115,46525,107089,0,30057,1023,4798,17330,33749,15684,7990,1197
1997:Q2,291076,13892,263948,0,13236,291076,0,1092,6446,13956,46724,108119,0,30685,1031,4860,16792,35167,16811,7898,1495
1997:Q3,293294,13975,265531,0,13788,293294,0,1242,6320,14013,46865,108493,0,30999,1040,4923,16492,36372,17409,7453,1673
1997:Q4,298750,14165,269136,0,15449,298750,0,1392,6223,13904,47225,109213,0,30402,987,4985,16215,37794,20313,8013,2084
1998:Q1,305369,14458,274711,0,16200,305369,0,1315,6884,13909,47445,111132,0,30394,975,5228,15439,38995,23844,7650,2159
