1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1965:Q4,532816,4851,18447,2121,126101,1970,72145,8713,39142,4131,368396,105630,3392,203826,55548,2330,0,0,276,10294,496641,-1641,150297,319441,2458,5016,3426,1590,5997,806,76,14191,0,0,14191,293,0,ND
1966:Q1,533926,5470,17941,2108,123843,2031,68534,9075,40090,4113,371970,104231,3388,207809,56542,2281,0,0,283,10030,497842,-1788,142484,326323,2416,5055,3422,1633,5687,1062,76,16527,0,0,16527,290,0,ND
1966:Q2,549173,5234,18564,2125,122243,1700,65726,9630,41069,4118,387129,113634,3420,211645,58430,2168,0,0,289,11421,512448,-316,149335,332311,2364,5148,3454,1694,6783,624,76,16123,0,0,16123,294,0,ND
1966:Q3,550729,5830,18070,2346,122888,1791,65999,8901,41906,4291,387792,110787,3370,214451,59184,1942,0,0,296,11565,513990,2607,142789,334584,2624,5098,3404,1694,7175,613,77,18423,0,0,18423,297,0,ND
1966:Q4,562767,5450,19794,2499,125675,1943,68573,9213,41472,4474,396395,116906,3603,216282,59604,2041,0,0,303,10610,525110,2918,152379,339785,2858,5333,3639,1694,6935,731,73,14098,0,0,14098,279,0,ND
1967:Q1,567710,5970,18619,3211,132362,2638,70526,9980,43880,5338,394620,114065,3704,217434,59417,2323,0,0,322,10283,529752,-595,145613,353136,3633,5638,3741,1897,5175,897,73,16182,0,0,16182,283,0,ND
1967:Q2,582180,4854,19505,3898,134335,2818,66591,11156,47385,6385,405450,118872,4131,220962,61485,2392,0,0,341,11405,543702,238,148672,364444,4444,6092,4172,1920,4302,558,74,14878,0,0,14878,284,0,ND
1967:Q3,599468,6252,20039,3931,144115,3091,73756,11416,48597,7255,410671,117645,4146,225885,62995,2574,0,0,362,11524,560833,2478,152944,372564,4730,6142,4187,1955,4122,639,74,17140,0,0,17140,286,0,ND
1967:Q4,628282,5931,21092,3982,149736,2911,76260,12520,50561,7484,432219,133476,4317,230316,64110,2552,0,0,385,12385,580185,3803,164810,380398,5006,6323,4360,1963,4386,647,77,14735,0,0,14735,296,0,ND
1968:Q1,623853,6250,21232,4366,152422,3221,75984,13355,51896,7966,424566,122267,4336,233542,64421,2321,0,0,408,12288,583178,3268,155084,389189,5731,6342,4379,1963,4269,660,77,18558,0,0,18558,298,0,ND
1968:Q2,637278,5190,21462,4736,150830,2923,73127,13333,53160,8287,438836,128992,4286,238207,67351,2512,0,0,433,13279,595691,5906,160139,393619,6565,6468,4329,2139,4889,562,78,17465,0,0,17465,301,0,ND
1968:Q3,657080,6660,22413,5695,158552,3348,76731,13906,55952,8615,446964,129278,4327,243242,70117,2464,0,0,460,13872,615400,8394,164273,403163,7041,6592,4370,2222,5026,664,79,20168,0,0,20168,304,0,ND
1968:Q4,682248,7195,21859,6688,163897,2924,78410,14275,59162,9126,465598,140129,4428,248562,72479,2464,0,0,488,14059,639453,8101,178376,413743,7515,6693,4472,2221,5259,620,81,19065,0,0,19065,311,0,ND
1969:Q1,680222,6490,22066,7076,160006,3278,73383,14506,59361,9478,469225,138544,4464,252722,73495,2413,0,0,518,12428,638531,10323,165570,416259,9360,6606,4509,2097,5331,774,82,24226,1000,0,23226,314,0,ND
1969:Q2,695086,6258,20808,7400,156062,3460,67989,14881,60689,9043,486655,146765,4880,258147,76863,2457,0,0,550,14896,653569,16655,172648,416556,11215,6938,4929,2009,6413,618,83,22443,2000,0,20443,319,0,ND
1969:Q3,698030,6950,22508,8766,153922,3596,66655,14395,60340,8936,490724,143920,5232,263116,78456,2470,0,0,584,12106,657899,13373,169879,411224,13077,7299,5284,2015,7940,738,84,34285,3000,0,31285,324,0,ND
1969:Q4,713304,7320,22085,10199,154694,3524,66954,15242,59829,9145,503896,153314,5451,265620,79511,2572,0,0,619,11919,672673,15888,183161,413205,14777,7543,5506,2037,9289,704,77,28029,4000,0,24029,295,0,ND
