1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1954:Q2,724,0,343,270,0,55,18,151,0,119,32,230,710,-172,896,0,-14,ND
1954:Q3,737,0,350,275,0,57,18,151,0,119,32,236,724,-171,908,0,-13,ND
1954:Q4,751,0,350,277,0,58,15,153,0,120,33,248,738,-167,918,0,-13,ND
1955:Q1,759,0,349,275,0,59,15,160,0,124,36,250,746,-168,927,0,-13,ND
1955:Q2,765,0,344,269,0,59,16,171,0,131,40,250,753,-169,934,0,-12,ND
1955:Q3,772,0,339,263,0,59,17,182,0,138,44,251,761,-171,943,0,-11,ND
1955:Q4,782,0,336,259,0,59,18,191,0,144,47,255,771,-174,956,0,-11,ND
1956:Q1,794,0,339,260,0,60,19,197,0,148,49,258,782,-178,972,0,-12,ND
1956:Q2,808,0,346,265,0,61,20,201,0,151,50,261,797,-183,991,0,-11,ND
1956:Q3,824,0,354,270,0,63,21,204,0,153,51,266,812,-189,1013,0,-12,ND
1956:Q4,844,0,361,274,0,65,22,209,0,155,54,274,832,-195,1039,0,-12,ND
1957:Q1,868,0,366,277,0,67,22,214,0,156,58,288,856,-202,1070,0,-12,ND
1957:Q2,896,0,369,279,0,69,21,219,0,156,63,308,884,-210,1106,0,-12,ND
1957:Q3,925,0,372,281,0,71,20,224,0,156,68,329,913,-218,1143,0,-12,ND
1957:Q4,954,0,373,284,0,73,16,229,0,157,72,352,941,-223,1177,0,-13,ND
1958:Q1,982,0,381,289,0,75,17,239,0,163,76,362,968,-229,1211,0,-14,ND
1958:Q2,1012,0,393,296,0,77,20,252,0,172,80,367,998,-235,1247,0,-14,ND
1958:Q3,1039,0,404,302,0,79,23,265,0,181,84,370,1025,-239,1278,0,-14,ND
1958:Q4,1056,0,408,303,0,81,24,272,0,185,87,376,1041,-240,1296,0,-15,ND
1959:Q1,920,0,327,233,0,70,24,230,0,156,74,363,905,-188,1108,0,-15,ND
1959:Q2,789,0,255,173,0,59,23,188,0,126,62,346,775,-130,919,0,-14,ND
1959:Q3,540,0,146,87,0,37,22,89,0,68,21,305,526,-74,614,0,-14,ND
1959:Q4,545,0,135,81,0,35,19,86,0,65,21,324,530,-66,611,0,-15,ND
1960:Q1,555,0,138,83,0,36,19,87,0,65,22,330,538,-67,622,0,-17,ND
1960:Q2,570,0,145,89,0,37,19,89,0,66,23,336,551,-71,641,0,-19,ND
