1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1998:Q1,2464576,6666,1653,9710,36927,595950,36927,212146,90116,2080,254681,18673,1153078,106899,535020,529255,5765,2496904
1998:Q2,2510862,7610,1621,9759,35839,613538,35839,213210,98041,2227,264221,20681,1162493,106732,552589,546673,5916,2543102
1998:Q3,2557713,7749,1717,9802,38309,627731,38309,207823,104820,2151,274628,21499,1015882,95796,739228,733425,5803,2590376
1998:Q4,2605240,9973,1983,9949,37532,639064,37532,212576,106104,3252,279600,22410,1188056,115863,580410,574598,5812,2638288
1999:Q1,2653528,7600,2169,10546,41037,657123,41037,211463,113106,4536,286981,22793,1216866,122112,573282,567024,6258,2687451
1999:Q2,2703199,9450,1651,10968,40909,660889,40909,213790,114932,3241,288017,23968,1312387,128360,514617,508093,6524,2737673
1999:Q3,2751126,9370,2120,11736,39259,670704,39259,204790,112839,3122,310694,23855,1231949,120845,641288,634718,6570,2788925
1999:Q4,2799712,9225,1692,11784,40375,681303,40375,198824,129022,3044,310038,25687,1407716,140858,481072,473958,7114,2840695
2000:Q1,2849290,11100,2400,11800,45400,695000,45400,196900,124500,2900,325300,24300,1449700,150600,458990,452013,6977,2893768
2000:Q2,2900225,12778,2869,12107,45179,698673,47652,194886,143291,2836,310008,24741,1408895,155780,539203,531971,7232,2947414
2000:Q3,2953222,12556,4738,12914,41857,704547,46805,185471,159082,2272,310917,21781,1429789,170961,554079,546610,7469,3002250
2000:Q4,3010525,9935,1606,13220,39836,721119,47257,179057,178873,1707,314225,22122,1298683,178341,725663,717447,8216,3057881
2001:Q1,3071202,8313,1475,13827,36015,697891,45909,177342,176064,1943,296633,21862,1185877,170422,935520,926170,9350,3116065
2001:Q2,3132015,13291,1944,14434,38694,708765,51061,183128,194655,1779,278142,20503,1265772,181102,887510,878116,9394,3175627
2001:Q3,3192982,13369,1813,14941,36372,679138,51214,166813,178346,715,282050,20944,1125466,162483,1138456,1128245,10211,3236568
2001:Q4,3254449,11448,1781,15447,33951,668411,51266,155099,180737,1651,279658,20984,1260360,184263,1057804,1047804,10000,3298294
2002:Q1,3305040,12126,2550,15954,32430,675783,52218,163285,181928,686,277666,20925,1294055,193344,1057873,1048980,8893,3350090
2002:Q2,3360011,10195,2677,64950,3821,646827,30565,153232,181204,822,281004,20785,1139181,159383,1312192,1245858,66334,3403063
2002:Q3,3415146,10996,2202,62472,3675,619906,29399,151652,185490,829,252536,21458,1076542,158960,1458935,1394688,64247,3457140
2002:Q4,3468499,13425,2156,70369,4139,591833,33115,144525,183215,837,230141,21863,1076523,173082,1515109,1444877,70232,3511666
2003:Q1,3514641,15324,1970,74885,4405,587654,35240,148527,194101,844,208942,20230,1119439,185643,1505091,1434278,70813,3559561
