1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1978:Q2,17152,7307,15209,-6609,-2536,1068,152,-765,736,-6,32,682,1325,13,126,0,-549,105,-130,-653,2713
1978:Q3,-12277,-7566,9804,-3649,851,-3109,134,-1339,852,-20,-7,-1045,-429,8,148,0,-696,108,-124,-700,-8608
1978:Q4,8326,-7211,9475,11752,-3394,-5463,675,-6091,770,-21,-28,-1103,1235,17,449,0,-647,115,-92,-742,3167
1979:Q1,16427,-3185,17553,114,-746,1464,-670,2478,981,-11,36,159,-32,7,198,0,-630,142,-358,-837,1228
1979:Q2,13473,8236,7342,-7977,-2286,-3571,13,-3174,-120,-11,20,1132,-77,-4,10,0,-461,147,-198,-849,11730
1979:Q3,-700,-3951,9982,-2985,2320,-6318,-17,-4941,526,-12,-23,-42,-471,-68,119,0,-305,159,-335,-908,252
1979:Q4,1943,-27112,16848,10980,-5539,-3174,705,-3358,754,-12,-75,-185,937,-102,720,0,-1615,168,-187,-924,9940
1980:Q1,13627,-9528,31362,-4400,532,-8189,-414,-5558,284,-13,-36,1222,-1263,99,-175,0,283,162,-1518,-1263,3851
1980:Q2,-8914,-12463,11234,-5110,-2674,-7950,-31,-4627,-1182,-14,-6,1311,1342,44,262,0,-3299,153,-719,-1184,8048
1980:Q3,-34474,-26651,-1319,-3480,193,-6855,4,-5637,1195,-14,11,383,-274,270,159,0,-1765,171,-223,-1134,3639
1980:Q4,-9819,-26525,12816,8274,-4298,-5392,429,-7499,571,-12,14,40,2032,243,139,0,201,178,-536,-1191,5306
1981:Q1,-2539,-22835,11167,386,2560,-1724,-416,-3558,4167,-15,-7,33,570,304,287,0,-1123,161,-706,-1420,7907
1981:Q2,-20572,-5968,761,-7934,-6089,-4773,58,-3884,18,-15,12,605,460,402,23,0,-312,169,-808,-1501,3431
1981:Q3,-22916,-36324,13671,-236,2104,-1486,105,-3471,3489,-17,30,-411,1029,403,314,0,-1220,179,-490,-1425,-646
1981:Q4,-3668,-54659,-658,19629,-1346,2554,474,3459,-1747,-16,42,399,2096,496,613,0,-1186,194,-749,-1521,30812
1982:Q1,27671,-34799,31502,-254,2001,-19673,-207,-15770,-303,-17,-117,-392,-20,357,109,0,-842,-3,-548,-1921,48895
1982:Q2,17576,-10999,19320,-7360,-2208,-5249,51,-11256,7001,-16,-146,-1107,2825,698,72,0,-723,18,-865,-1803,24073
1982:Q3,-18085,-55373,11534,2065,5264,10351,-264,4210,8058,-16,-175,-485,1784,620,55,0,-1011,17,-981,-1461,8074
1982:Q4,9104,-16370,13153,15358,-3188,-13366,302,-2229,-10248,-17,-161,2020,-1263,518,568,0,-269,11,-1274,-1324,13517
1983:Q1,-23040,-31234,16449,-3475,-2716,-13266,-292,-2158,-1569,-17,43,-1182,-3773,569,116,0,-2422,0,-1045,-1536,11202
1983:Q2,-36579,-43066,-1066,-5091,-1944,5622,82,4016,7362,-18,31,-1101,-1886,480,117,0,-648,43,-1392,-1464,8966
1983:Q3,-26756,-53547,11358,-6191,9091,-6398,-126,-1505,2354,-17,4,-779,-2933,141,38,0,-1025,10,-1217,-1343,18930
1983:Q4,6858,-758,8742,12070,-2103,28945,498,12284,15751,-18,32,1740,526,-62,477,0,85,-98,-845,-1425,-40038
