date,Closed-end funds; total financial assets,Closed-end funds; debt securities; asset,Closed-end funds; Treasury securities; asset,Closed-end funds; municipal securities; asset,Closed-end funds; corporate and foreign bonds; asset,Closed-end funds; corporate equities; asset,Closed-end funds; total financial assets,Closed-end funds; total financial assets in domestic equity funds,Closed-end funds; total financial assets in world equity funds,Closed-end funds; total financial assets in domestic taxable bond funds,Closed-end funds; total financial assets in municipal bond funds,Closed-end funds; total financial assets in world bond funds
1945:Q4,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1946:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1994:Q2,591,-925,-238,405,-1092,1516,591,ND,ND,ND,ND,ND
1994:Q3,591,-925,-238,405,-1092,1516,591,ND,ND,ND,ND,ND
1994:Q4,591,-925,-238,405,-1092,1516,591,ND,ND,ND,ND,ND
1995:Q1,1973,2128,-427,1199,1356,-155,1973,ND,ND,ND,ND,ND
1995:Q2,1973,2128,-427,1199,1356,-155,1973,ND,ND,ND,ND,ND
1995:Q3,1973,2128,-427,1199,1356,-155,1973,ND,ND,ND,ND,ND
1995:Q4,1973,2128,-427,1199,1356,-155,1973,ND,ND,ND,ND,ND
1996:Q1,75,735,29,240,466,-660,75,ND,ND,ND,ND,ND
1996:Q2,75,735,29,240,466,-660,75,ND,ND,ND,ND,ND
1996:Q3,75,735,29,240,466,-660,75,ND,ND,ND,ND,ND
1996:Q4,75,735,29,240,466,-660,75,ND,ND,ND,ND,ND
1997:Q1,-2787,-283,-350,76,-9,-2504,-2787,ND,ND,ND,ND,ND
1997:Q2,-2787,-283,-350,76,-9,-2504,-2787,ND,ND,ND,ND,ND
1997:Q3,-2787,-283,-350,76,-9,-2504,-2787,ND,ND,ND,ND,ND
1997:Q4,-2787,-283,-350,76,-9,-2504,-2787,ND,ND,ND,ND,ND
1998:Q1,-1702,1233,-255,317,1171,-2935,-1702,ND,ND,ND,ND,ND
1998:Q2,-1702,1233,-255,317,1171,-2935,-1702,ND,ND,ND,ND,ND
1998:Q3,-1702,1233,-255,317,1171,-2935,-1702,ND,ND,ND,ND,ND
1998:Q4,-1702,1233,-255,317,1171,-2935,-1702,ND,ND,ND,ND,ND
1999:Q1,3320,1955,66,1780,109,1365,3320,ND,ND,ND,ND,ND
1999:Q2,5630,3750,-11,2878,883,1880,5630,ND,ND,ND,ND,ND
1999:Q3,-12348,3314,-39,3521,-168,-15662,-12348,ND,ND,ND,ND,ND
1999:Q4,-1442,594,-1200,831,963,-2036,-1442,ND,ND,ND,ND,ND
2000:Q1,625,1367,38,902,427,-742,625,ND,ND,ND,ND,ND
2000:Q2,119,-1067,-40,-519,-508,1186,119,ND,ND,ND,ND,ND
2000:Q3,-3498,-1675,-9,-499,-1167,-1823,-3498,ND,ND,ND,ND,ND
2000:Q4,-2751,-4187,-902,-1868,-1417,1436,-2751,ND,ND,ND,ND,ND
2001:Q1,-1211,-1736,-932,914,-1718,525,-1211,ND,ND,ND,ND,ND
2001:Q2,-987,-29,102,1362,-1493,-958,-987,ND,ND,ND,ND,ND
2001:Q3,594,-124,-3,1995,-2116,718,594,ND,ND,ND,ND,ND
2001:Q4,3543,5104,896,2680,1528,-1561,3543,ND,ND,ND,ND,ND
2002:Q1,3408,3654,-1776,2160,3270,-246,3408,ND,ND,ND,ND,ND
2002:Q2,3914,590,-185,2044,-1269,3324,3914,ND,ND,ND,ND,ND
2002:Q3,5547,-44,-3,2203,-2244,5591,5547,ND,ND,ND,ND,ND
2002:Q4,5099,4442,-815,4941,316,657,5099,ND,ND,ND,ND,ND
2003:Q1,7777,6494,81,982,5431,1283,7777,ND,ND,ND,ND,ND
2003:Q2,15334,14423,117,-310,14616,911,15334,ND,ND,ND,ND,ND
2003:Q3,14839,10586,279,2094,8213,4253,14839,ND,ND,ND,ND,ND
2003:Q4,5642,3919,142,416,3361,1723,5642,ND,ND,ND,ND,ND
2004:Q1,15288,2257,1286,-460,1431,13031,15288,ND,ND,ND,ND,ND
2004:Q2,9045,5639,627,1455,3557,3406,9045,ND,ND,ND,ND,ND
2004:Q3,5055,-111,213,-511,187,5166,5055,ND,ND,ND,ND,ND
2004:Q4,2923,2901,160,-589,3330,22,2923,ND,ND,ND,ND,ND
2005:Q1,10959,2659,184,269,2206,8300,10959,ND,ND,ND,ND,ND
2005:Q2,6647,920,360,637,-77,5727,6647,ND,ND,ND,ND,ND
2005:Q3,4012,-189,-256,-417,484,4201,4012,ND,ND,ND,ND,ND
2005:Q4,-1070,-1181,-31,-270,-880,111,-1070,ND,ND,ND,ND,ND
2006:Q1,1492,2611,-412,-231,3254,-1119,1492,ND,ND,ND,ND,ND
2006:Q2,4845,4118,415,485,3218,727,4845,ND,ND,ND,ND,ND
2006:Q3,-1902,-1970,20,-620,-1370,68,-1902,ND,ND,ND,ND,ND
2006:Q4,4032,1326,213,389,724,2706,4032,ND,ND,ND,ND,ND
2007:Q1,11925,-468,-201,-565,298,12393,11925,1112,11281,97,-565,0
2007:Q2,10784,2379,-514,-412,3305,8405,10784,1522,6883,113,-412,2678
2007:Q3,4724,1364,-169,-75,1608,3360,4724,1969,1391,1438,-75,0
2007:Q4,937,487,-834,171,1150,450,937,346,104,319,171,-3
2008:Q1,-2225,-580,-231,-46,-303,-1645,-2225,-702,-943,-523,-46,-11
2008:Q2,-7931,-5841,-206,-2159,-3476,-2090,-7931,-2090,0,-3053,-2159,-630
2008:Q3,-5551,-3827,-457,-3120,-250,-1724,-5551,-1866,142,-706,-3120,0
2008:Q4,-6732,-3452,-1548,-764,-1140,-3280,-6732,-2394,-886,-2627,-764,-59
2009:Q1,-1262,-395,81,-42,-434,-867,-1262,-486,-381,-352,-42,-2
2009:Q2,-837,-534,408,-324,-618,-303,-837,-378,75,-182,-324,-28
2009:Q3,-1178,-410,221,84,-715,-768,-1178,-1126,358,-494,84,0
2009:Q4,18,600,519,44,37,-582,18,-376,-206,241,44,316
2010:Q1,72,311,622,-186,-125,-239,72,-188,-51,497,-186,0
2010:Q2,1028,540,-132,225,447,488,1028,491,-3,315,225,0
2010:Q3,2693,1507,115,864,528,1186,2693,1185,1,643,864,0
2010:Q4,1637,1019,111,216,692,618,1637,507,111,445,216,358
2011:Q1,1640,300,138,-225,387,1340,1640,1284,56,524,-225,1
2011:Q2,2420,1160,-22,960,222,1260,2420,959,301,200,960,1
2011:Q3,856,-181,-385,-180,384,1037,856,217,820,0,-180,0
2011:Q4,1101,270,-13,270,13,831,1101,748,83,0,270,0
2012:Q1,476,286,283,-304,307,190,476,61,129,-27,-304,618
2012:Q2,2580,1536,-115,952,699,1044,2580,793,251,583,952,2
2012:Q3,3905,3217,190,1224,1803,688,3905,801,-113,1984,1224,9
2012:Q4,4424,3392,-37,1230,2199,1032,4424,1186,-154,709,1230,1452
2013:Q1,7302,6012,529,1168,4315,1290,7302,1516,-226,1490,1168,3354
2013:Q2,5896,4859,122,188,4549,1037,5896,1119,-82,1721,188,2948
2013:Q3,362,190,-57,-392,639,172,362,333,-161,421,-392,161
2013:Q4,955,-150,-8,-434,292,1105,955,1128,-23,289,-434,-5
2014:Q1,1030,375,66,527,-218,655,1030,660,-5,-128,527,-24
2014:Q2,452,-55,81,108,-244,507,452,475,32,-19,108,-145
2014:Q3,2467,156,-116,-126,398,2311,2467,2272,39,298,-126,-17
2014:Q4,986,146,-247,58,335,840,986,412,428,114,58,-26
2015:Q1,849,494,-90,-5,589,355,849,117,238,458,-5,40
2015:Q2,897,229,-1,-86,316,668,897,105,563,337,-86,-23
2015:Q3,580,164,-186,188,162,416,580,110,306,88,188,-113
2015:Q4,-467,-293,-176,-108,-9,-174,-467,-109,-65,-176,-108,-9
2016:Q1,316,344,-150,364,130,-28,316,-15,-13,-21,364,2
2016:Q2,33,86,-1720,162,1644,-53,33,169,-222,405,162,-481
2016:Q3,1031,926,63,300,563,105,1031,32,73,643,300,-17
2016:Q4,-550,-584,-418,-993,827,34,-550,57,-23,411,-993,-2
2017:Q1,717,623,40,10,573,94,717,23,71,404,10,210
2017:Q2,-455,367,-7,289,85,-822,-455,-779,-43,132,289,-54
2017:Q3,376,-45,27,-40,-32,421,376,471,-50,52,-40,-57
2017:Q4,40,280,56,-28,252,-240,40,139,-379,171,-28,138
2018:Q1,-55,-38,-17,-37,16,-17,-55,-8,-9,1,-37,-1
2018:Q2,1889,2292,0,2244,48,-403,1889,-322,-81,50,2244,-2
2018:Q3,-230,-278,19,-390,93,48,-230,42,6,113,-390,0
2018:Q4,264,303,-210,168,345,-39,264,-63,24,137,168,-1
2019:Q1,1413,1277,67,462,748,136,1413,38,98,813,462,0
2019:Q2,1717,386,-32,-203,621,1331,1717,3,1328,590,-203,0
2019:Q3,1606,1610,-211,1342,479,-4,1606,16,-20,4,1342,265
