1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1988:Q1,-103088,-210171,25220,65805,16659,3636,-1944,36816,-4206,-77,6140,-14181,4500,-4980,-1618,0,-4051,5056,-11291,-6529,-4237
1988:Q2,-171208,-225419,45003,46459,10046,5884,1739,47855,6664,-83,-4860,-15860,6503,-4652,562,0,-12419,1902,-14923,-6544,-53181
1988:Q3,-166232,-179491,-4277,2415,1626,-87113,-1395,-6403,-12440,-94,-6101,-17349,-12527,-4116,2730,0,-21451,1656,-3324,-6298,100607
1988:Q4,-199808,-153380,-18147,47779,7128,26800,1845,-19317,57127,-105,1199,1688,13432,-3656,1321,0,-10397,-520,-9227,-6591,-109988
1989:Q1,141942,122144,-61239,75403,-24238,-95162,-2404,-33765,-17017,529,3972,-10815,-922,-6340,-2765,0,-3886,-3691,-11519,-6540,125034
1989:Q2,-116527,-112337,62104,13066,-52527,-33401,-3383,32978,-3869,-119,-5548,-10326,-31,-6848,-785,0,-16867,-2279,-9793,-6530,6567
1989:Q3,-73624,-20454,84534,21750,-22080,-175996,-4761,-1714,-75071,-124,-6010,-25128,-6590,-6040,3923,0,-36911,-16,-10674,-6881,38622
1989:Q4,135891,-100686,156408,37233,-9240,19467,3425,-38147,47532,-129,5563,12691,-58,-5420,-1636,0,3536,2409,-3299,-7000,32709
1990:Q1,-222073,-119287,-34272,43828,-42315,-45579,-1864,405,-32603,-77,7336,-9426,-15186,-2008,-1621,0,7059,1406,-1080,2080,-24449
1990:Q2,-219669,-285827,39614,-39902,-24407,42928,-4661,32199,-2647,-67,-4570,-4525,17277,32,-3910,0,13946,3180,-5933,2607,47925
1990:Q3,-394169,-259250,-45302,-54480,-9691,-21162,-3805,59898,-9192,-59,-7298,-10344,-41782,-1136,-3698,0,-7653,3223,-1770,2454,-4283
1990:Q4,-176427,-234515,91696,-19589,-2827,-69737,490,-37727,-14380,-437,3172,-25069,-2166,-1640,-5131,0,18220,-2455,-2418,-195,58544
1991:Q1,157268,-64349,94454,41818,-40044,28092,6565,137812,-41356,125,9460,-5248,-72423,5048,-4079,0,-17203,2991,-6083,12484,97298
1991:Q2,-298358,-101650,-15357,3534,-8555,1551,-6750,60513,-94463,154,-3432,-27140,-4819,2592,-1302,0,66216,1645,-4386,12724,-177882
1991:Q3,-84005,-137544,59175,-30509,-2828,-9572,-8139,-23695,60440,147,-5847,-17577,-12599,1544,-2983,0,-3600,1309,-6515,7943,37273
1991:Q4,203630,-148597,156822,45596,51544,76867,4921,-5570,-33739,-4,728,6357,75614,1340,-1083,0,18296,1770,-4942,13180,21398
1992:Q1,166578,-184176,430237,91449,-55785,-12381,-1040,-56014,46804,-137,16666,-5709,-21309,2784,-194,0,-8253,-1995,1273,14743,-102766
