1951:Q1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
1951:Q3,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
2003:Q1,2198864,97149,210410,268065,1577920,562684,153646,331380,306559,223651,45320,2198864,2198864,0,0,0,0,47764
2003:Q2,2157611,86298,188710,263614,1582105,534256,149295,341093,302964,254497,36884,2157611,2157611,0,0,0,0,42948
2003:Q3,2090350,80522,184430,231787,1555550,493680,138729,370736,300411,251994,38061,2090350,2090350,0,0,0,0,41217
2003:Q4,2040021,68694,164610,257492,1516024,480679,134678,339001,309240,252426,33201,2040021,2040021,0,0,0,0,35652
2004:Q1,1992608,71865,166710,273174,1444581,448168,128580,311108,311096,245629,36278,1992608,1992608,0,0,0,0,34935
2004:Q2,1941873,78636,182094,261100,1380124,416316,105120,290820,312350,255518,39919,1941873,1941873,0,0,0,0,36586
2004:Q3,1892172,70198,175034,262122,1348003,403240,102957,284120,308683,249003,36815,1892172,1892172,0,0,0,0,37354
2004:Q4,1901700,69546,181113,238814,1368445,413699,104984,275783,322550,251429,43782,1901700,1901700,0,0,0,0,33361
2005:Q1,1865022,64843,198045,256797,1317922,419261,105476,218402,335999,238784,27415,1865022,1865022,0,0,0,0,35102
2005:Q2,1853916,78612,178611,299129,1276097,436838,90842,171341,341897,235179,21467,1853916,1853916,0,0,0,0,33889
2005:Q3,1901890,89737,195568,308696,1274506,450459,87188,148962,340211,247686,33383,1901890,1901890,0,0,0,0,35906
2005:Q4,2026821,77329,195171,352601,1369190,499356,90359,165343,349329,264803,32530,2026821,2026821,0,0,0,0,33699
2006:Q1,2033948,82850,195659,347000,1382964,493561,86503,158393,364658,279849,25475,2033948,2033948,0,0,0,0,34460
2006:Q2,2094385,64015,221963,358816,1405257,514124,81491,155675,357285,296682,44334,2094385,2094385,0,0,0,0,40990
2006:Q3,2195786,55761,223381,376385,1495579,563715,73141,143009,372460,343254,44680,2195786,2195786,0,0,0,0,42805
2006:Q4,2338451,67216,224076,403457,1596477,613993,84451,136791,392473,368769,47225,2338451,2338451,0,0,0,0,42192
2007:Q1,2417799,63270,222135,396303,1683764,643685,93210,132738,419597,394534,52327,2417799,2417799,0,0,0,0,45317
2007:Q2,2514235,53970,229625,435374,1746180,652191,91642,138808,427646,435893,49086,2514235,2514235,0,0,0,0,47599
2007:Q3,2830799,81892,290505,539867,1848560,653144,130326,184138,457733,423219,69975,2830799,2830799,0,0,0,0,51288
